Source,Target,Type
L1178,18,undirected
L1179,18,undirected
L1180,18,undirected
L1181,18,undirected
L1182,18,undirected
L534,18,undirected
L73,18,undirected
L1183,18,undirected
L1184,18,undirected
L31,18,undirected
L1185,18,undirected
L1186,18,undirected
L152,18,undirected
L65,18,undirected
L352,18,undirected
L348,18,undirected
L355,18,undirected
L1187,18,undirected
L79,18,undirected
L155,18,undirected
L347,18,undirected
L1188,18,undirected
L772,18,undirected
L1189,18,undirected
L1190,18,undirected
L1191,18,undirected
L1192,18,undirected
L1193,18,undirected
L1194,18,undirected
L74,18,undirected
L1195,18,undirected
L338,18,undirected
L364,18,undirected
L350,18,undirected
L1196,18,undirected
L101,18,undirected
L1197,18,undirected
L1198,18,undirected
L1199,18,undirected
L1200,18,undirected
L1201,18,undirected
L1202,18,undirected
L1203,18,undirected
L1204,18,undirected
L1205,18,undirected
L1206,18,undirected
L1077,18,undirected
L1207,18,undirected
L1208,18,undirected
L1209,18,undirected
L1210,18,undirected
L1211,18,undirected
L1212,18,undirected
L1213,18,undirected
L1214,18,undirected
L1215,18,undirected
L47,18,undirected
L1216,18,undirected
L1217,18,undirected
L1218,18,undirected
L1219,18,undirected
L356,18,undirected
L1220,18,undirected
L1221,18,undirected
L1222,18,undirected
L1223,18,undirected
L1224,18,undirected
L1225,18,undirected
L1226,18,undirected
L1227,18,undirected
L1228,18,undirected
L1024,18,undirected
L1229,18,undirected
L1230,18,undirected
L343,18,undirected
L305,18,undirected
L1231,18,undirected
L1232,18,undirected
L1233,18,undirected
L25,18,undirected
L340,18,undirected
L1234,18,undirected
L789,20,undirected
L1235,20,undirected
L1236,20,undirected
L1237,20,undirected
L1238,20,undirected
L1239,20,undirected
L1240,20,undirected
L1241,20,undirected
L1242,20,undirected
L1243,20,undirected
L1244,20,undirected
L1245,20,undirected
L1246,20,undirected
L1247,20,undirected
L1248,20,undirected
L1249,20,undirected
L1250,20,undirected
L1251,20,undirected
L1252,20,undirected
